observation_date,A02082USA374NNBR
1831-01-01,72
1832-01-01,134
1833-01-01,151
1834-01-01,253
1835-01-01,465
1836-01-01,175
1837-01-01,224
1838-01-01,416
1839-01-01,389
1840-01-01,516
1841-01-01,717
1842-01-01,491
1843-01-01,159
1844-01-01,192
1845-01-01,256
1846-01-01,297
1847-01-01,668
1848-01-01,398
1849-01-01,1369
1850-01-01,1656
1851-01-01,1961
1852-01-01,1926
1853-01-01,2452
1854-01-01,1360
1855-01-01,1654
1856-01-01,3642
1857-01-01,2487
1858-01-01,2465
1859-01-01,1821
1860-01-01,1837
1861-01-01,660
1862-01-01,834
1863-01-01,1050
1864-01-01,738
1865-01-01,1177
1866-01-01,1716
1867-01-01,2249
1868-01-01,2979
1869-01-01,4615
1870-01-01,6078
1871-01-01,7379
1872-01-01,5870
1873-01-01,4097
1874-01-01,2117
1875-01-01,1711
1876-01-01,2712
1877-01-01,2274
1878-01-01,2665
1879-01-01,4809
1880-01-01,6706
1881-01-01,9846
1882-01-01,11569
1883-01-01,6745
1884-01-01,3923
1885-01-01,2975
1886-01-01,8018
1887-01-01,12876
1888-01-01,6900
1889-01-01,5162
1890-01-01,5427
1891-01-01,4026
1892-01-01,4441
1893-01-01,2346
1894-01-01,1899
1895-01-01,1700
1896-01-01,1654
1897-01-01,1822
1898-01-01,2219
1899-01-01,4008
1900-01-01,3444
1901-01-01,4481
1902-01-01,4195
1903-01-01,4397
1904-01-01,5059
1905-01-01,4947
1906-01-01,5425
1907-01-01,5362
1908-01-01,3918
1909-01-01,3387
1910-01-01,4751
1911-01-01,3466
