observation_date,M09028USM474NNBR
1893-01-01,1430
1893-02-01,843
1893-03-01,796
1893-04-01,903
1893-05-01,1049
1893-06-01,1218
1893-07-01,1892
1893-08-01,1835
1893-09-01,1174
1893-10-01,1753
1893-11-01,1423
1893-12-01,1238
1894-01-01,1953
1894-02-01,1181
1894-03-01,835
1894-04-01,953
1894-05-01,861
1894-06-01,745
1894-07-01,993
1894-08-01,753
1894-09-01,977
1894-10-01,1146
1894-11-01,1188
1894-12-01,1130
1895-01-01,1818
1895-02-01,1063
1895-03-01,931
1895-04-01,1086
1895-05-01,875
1895-06-01,824
1895-07-01,1135
1895-08-01,832
1895-09-01,735
1895-10-01,1320
1895-11-01,1248
1895-12-01,1125
1896-01-01,2147
1896-02-01,1217
1896-03-01,1148
1896-04-01,1050
1896-05-01,996
1896-06-01,1044
1896-07-01,1203
1896-08-01,1175
1896-09-01,1300
1896-10-01,1234
1896-11-01,1226
1896-12-01,1412
1897-01-01,1867
1897-02-01,1193
1897-03-01,982
1897-04-01,980
1897-05-01,1054
1897-06-01,948
1897-07-01,1037
1897-08-01,961
1897-09-01,811
1897-10-01,1011
1897-11-01,1058
1897-12-01,1217
1898-01-01,1540
1898-02-01,993
1898-03-01,982
1898-04-01,1053
1898-05-01,984
1898-06-01,877
1898-07-01,965
1898-08-01,774
1898-09-01,687
1898-10-01,1035
1898-11-01,936
1898-12-01,800
1899-01-01,1252
1899-02-01,772
1899-03-01,755
1899-04-01,886
1899-05-01,720
1899-06-01,664
1899-07-01,744
1899-08-01,675
1899-09-01,607
1899-10-01,823
1899-11-01,794
1899-12-01,952
1900-01-01,1138
1900-02-01,747
1900-03-01,810
1900-04-01,707
1900-05-01,710
1900-06-01,768
1900-07-01,819
1900-08-01,704
1900-09-01,690
1900-10-01,885
1900-11-01,837
1900-12-01,1078
1901-01-01,1253
1901-02-01,868
1901-03-01,896
1901-04-01,909
1901-05-01,783
1901-06-01,756
1901-07-01,841
1901-08-01,788
1901-09-01,711
1901-10-01,895
1901-11-01,879
1901-12-01,1065
1902-01-01,1343
1902-02-01,854
1902-03-01,829
1902-04-01,791
1902-05-01,769
1902-06-01,676
1902-07-01,772
1902-08-01,695
1902-09-01,723
1902-10-01,801
1902-11-01,818
1902-12-01,917
1903-01-01,1113
1903-02-01,778
1903-03-01,749
1903-04-01,708
1903-05-01,686
1903-06-01,756
1903-07-01,718
1903-08-01,683
1903-09-01,707
1903-10-01,910
1903-11-01,885
1903-12-01,1097
1904-01-01,1121
1904-02-01,847
1904-03-01,898
1904-04-01,800
1904-05-01,815
1904-06-01,857
1904-07-01,774
1904-08-01,840
1904-09-01,766
1904-10-01,841
1904-11-01,809
1904-12-01,1050
1905-01-01,1199
1905-02-01,849
1905-03-01,893
1905-04-01,765
1905-05-01,761
1905-06-01,774
1905-07-01,705
1905-08-01,765
1905-09-01,710
1905-10-01,810
1905-11-01,816
1905-12-01,918
1906-01-01,1230
1906-02-01,764
1906-03-01,798
1906-04-01,682
1906-05-01,695
1906-06-01,704
1906-07-01,704
1906-08-01,629
1906-09-01,660
1906-10-01,797
1906-11-01,810
1906-12-01,913
1907-01-01,1112
1907-02-01,771
1907-03-01,745
1907-04-01,733
1907-05-01,755
1907-06-01,675
1907-07-01,733
1907-08-01,673
1907-09-01,685
1907-10-01,968
1907-11-01,1108
1907-12-01,1310
1908-01-01,1706
1908-02-01,1290
1908-03-01,1191
1908-04-01,1152
1908-05-01,1103
1908-06-01,1120
1908-07-01,1152
1908-08-01,1006
1908-09-01,971
1908-10-01,1072
1908-11-01,993
1908-12-01,1308
1909-01-01,1317
1909-02-01,990
1909-03-01,1001
1909-04-01,998
1909-05-01,902
1909-06-01,950
1909-07-01,946
1909-08-01,857
1909-09-01,810
1909-10-01,937
1909-11-01,982
1909-12-01,1155
1910-01-01,1243
1910-02-01,1009
1910-03-01,1050
1910-04-01,874
1910-05-01,885
1910-06-01,845
1910-07-01,865
1910-08-01,950
1910-09-01,840
1910-10-01,867
1910-11-01,946
1910-12-01,1199
1911-01-01,1376
1911-02-01,1012
1911-03-01,1104
1911-04-01,985
1911-05-01,1030
1911-06-01,972
1911-07-01,927
1911-08-01,942
1911-09-01,947
1911-10-01,971
1911-11-01,1092
1911-12-01,1288
1912-01-01,1701
1912-02-01,1208
1912-03-01,1101
1912-04-01,1079
1912-05-01,1111
1912-06-01,1018
1912-07-01,1073
1912-08-01,1020
1912-09-01,995
1912-10-01,1093
1912-11-01,1103
1912-12-01,1307
1913-01-01,1566
1913-02-01,1114
1913-03-01,1235
1913-04-01,1148
1913-05-01,1104
1913-06-01,975
1913-07-01,1065
1913-08-01,1085
1913-09-01,1108
1913-10-01,1252
1913-11-01,1233
1913-12-01,1668
1914-01-01,1729
1914-02-01,1206
