observation_date,M13002US35620M156NNBR
1857-01-01,8.81
1857-02-01,8.81
1857-03-01,9.25
1857-04-01,9.00
1857-05-01,8.19
1857-06-01,7.90
1857-07-01,8.50
1857-08-01,10.00
1857-09-01,18.00
1857-10-01,24.00
1857-11-01,11.50
1857-12-01,8.00
1858-01-01,7.50
1858-02-01,5.75
1858-03-01,5.50
1858-04-01,5.19
1858-05-01,3.64
1858-06-01,4.31
1858-07-01,3.71
1858-08-01,4.05
1858-09-01,4.44
1858-10-01,4.40
1858-11-01,4.69
1858-12-01,4.62
1859-01-01,4.62
1859-02-01,5.50
1859-03-01,5.17
1859-04-01,5.28
1859-05-01,6.47
1859-06-01,6.89
1859-07-01,6.62
1859-08-01,7.04
1859-09-01,6.54
1859-10-01,6.75
1859-11-01,6.19
1859-12-01,6.75
1860-01-01,8.00
1860-02-01,7.10
1860-03-01,5.90
1860-04-01,5.60
1860-05-01,5.80
1860-06-01,5.50
1860-07-01,5.40
1860-08-01,6.10
1860-09-01,7.00
1860-10-01,6.80
1860-11-01,11.10
1860-12-01,12.90
1861-01-01,8.00
1861-02-01,7.30
1861-03-01,6.10
1861-04-01,6.20
1861-05-01,8.10
1861-06-01,6.50
1861-07-01,5.50
1861-08-01,6.50
1861-09-01,6.30
1861-10-01,6.80
1861-11-01,6.30
1861-12-01,7.00
1862-01-01,6.30
1862-02-01,5.90
1862-03-01,6.30
1862-04-01,6.10
1862-05-01,5.00
1862-06-01,4.50
1862-07-01,5.50
1862-08-01,4.50
1862-09-01,5.00
1862-10-01,4.50
1862-11-01,4.70
1862-12-01,5.50
1863-01-01,5.30
1863-02-01,5.70
1863-03-01,5.30
1863-04-01,5.30
1863-05-01,5.20
1863-06-01,5.40
1863-07-01,5.60
1863-08-01,5.30
1863-09-01,5.60
1863-10-01,5.70
1863-11-01,6.60
1863-12-01,6.80
1864-01-01,7.30
1864-02-01,6.50
1864-03-01,5.60
1864-04-01,6.70
1864-05-01,6.90
1864-06-01,6.80
1864-07-01,6.50
1864-08-01,7.70
1864-09-01,9.00
1864-10-01,9.20
1864-11-01,8.30
1864-12-01,7.80
1865-01-01,8.00
1865-02-01,8.50
1865-03-01,9.00
1865-04-01,8.50
1865-05-01,7.20
1865-06-01,6.70
1865-07-01,7.30
1865-08-01,7.70
1865-09-01,7.10
1865-10-01,7.60
1865-11-01,8.00
1865-12-01,7.80
1866-01-01,7.37
1866-02-01,7.28
1866-03-01,7.32
1866-04-01,6.69
1866-05-01,6.05
1866-06-01,5.56
1866-07-01,5.89
1866-08-01,5.89
1866-09-01,5.25
1866-10-01,5.45
1866-11-01,6.69
1866-12-01,6.88
1867-01-01,7.40
1867-02-01,7.06
1867-03-01,7.19
1867-04-01,7.17
1867-05-01,6.67
1867-06-01,7.38
1867-07-01,6.55
1867-08-01,6.50
1867-09-01,7.12
1867-10-01,8.40
1867-11-01,8.56
1867-12-01,7.94
1868-01-01,7.06
1868-02-01,6.50
1868-03-01,7.67
